year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2050,Deadwood,Tropical Dry,16.885612721278143
2050,Deadwood,Tropical Moist,28.710382544846272
2050,Deadwood,Tropical Premontane Wet,34.79430220677638
2050,Litter,Tropical Dry,15.09639684650455
2050,Litter,Tropical Moist,25.658468473996376
2050,Litter,Tropical Premontane Wet,34.38338701300541
2050,Soil Carbon,Tropical Dry,77.56285892898666
2050,Soil Carbon,Tropical Moist,120.05480909042404
2050,Soil Carbon,Tropical Premontane Wet,139.95698827236333
2050,Total Biomass,Tropical Dry,106.0859226805406
2050,Total Biomass,Tropical Moist,178.60086949012657
2050,Total Biomass,Tropical Premontane Wet,193.77581345668284
