year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1900,Deadwood,Tropical Dry,86.72172650594933
1900,Deadwood,Tropical Moist,147.60172392188616
1900,Deadwood,Tropical Premontane Wet,167.01536909960132
1900,Litter,Tropical Dry,17.481560722833805
1900,Litter,Tropical Moist,29.928012107124985
1900,Litter,Tropical Premontane Wet,36.177858025989266
1900,Soil Carbon,Tropical Dry,79.18163405081833
1900,Soil Carbon,Tropical Moist,124.28017129339644
1900,Soil Carbon,Tropical Premontane Wet,145.47494952643257
1900,Total Biomass,Tropical Dry,0.0014951294179772342
1900,Total Biomass,Tropical Moist,6.140465519536419
1900,Total Biomass,Tropical Premontane Wet,6.079037757144233
