year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1920,Deadwood,Tropical Dry,23.431466110606546
1920,Deadwood,Tropical Moist,41.49096116043608
1920,Deadwood,Tropical Premontane Wet,50.3392083557875
1920,Litter,Tropical Dry,10.165510627613582
1920,Litter,Tropical Moist,18.343176653896137
1920,Litter,Tropical Premontane Wet,24.069281560418887
1920,Soil Carbon,Tropical Dry,77.80657148512131
1920,Soil Carbon,Tropical Moist,122.82706411329276
1920,Soil Carbon,Tropical Premontane Wet,143.59786371059533
1920,Total Biomass,Tropical Dry,64.15322980678775
1920,Total Biomass,Tropical Moist,93.08646176653535
1920,Total Biomass,Tropical Premontane Wet,94.78495097197408
