year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
2022,Litter,Tropical Dry,18919529.195830416,1142790.3822968886,16.555555147221444,"Modified Decay, Turnover and Spinup parameters"
2022,Litter,Tropical Moist,18507304.739736993,608498.4096054053,30.414713411886282,"Modified Decay, Turnover and Spinup parameters"
2022,Litter,Tropical Premontane Wet,16926434.15524043,417245.7651077392,40.56706040112778,"Modified Decay, Turnover and Spinup parameters"
2022,Soil Carbon,Tropical Dry,39905251.5761632,1142790.3822968886,34.9191349475289,"Modified Decay, Turnover and Spinup parameters"
2022,Soil Carbon,Tropical Moist,52259581.253966,608498.4096054053,85.88285594346077,"Modified Decay, Turnover and Spinup parameters"
2022,Soil Carbon,Tropical Premontane Wet,38897990.44082013,417245.7651077392,93.22560872673226,"Modified Decay, Turnover and Spinup parameters"
2022,Total Biomass,Tropical Dry,131021688.1333617,1142790.3822968886,114.65067449204628,"Modified Decay, Turnover and Spinup parameters"
2022,Total Biomass,Tropical Moist,127002224.04990217,608498.4096054053,208.71414295439106,"Modified Decay, Turnover and Spinup parameters"
2022,Total Biomass,Tropical Premontane Wet,93125949.01987426,417245.7651077392,223.19207720617064,"Modified Decay, Turnover and Spinup parameters"
2023,Deadwood,Tropical Dry,18176719.90774603,1142790.3822968886,15.90555905030696,"Modified Decay, Turnover and Spinup parameters"
2023,Deadwood,Tropical Moist,17839139.472074334,608498.4096054053,29.31665751376825,"Modified Decay, Turnover and Spinup parameters"
2023,Deadwood,Tropical Premontane Wet,15170927.529235534,417245.7651077392,36.359692051801105,"Modified Decay, Turnover and Spinup parameters"
2023,Litter,Tropical Dry,18920893.047974516,1142790.3822968886,16.556748587562932,"Modified Decay, Turnover and Spinup parameters"
2023,Litter,Tropical Moist,18522597.786294244,608498.4096054053,30.4398458466073,"Modified Decay, Turnover and Spinup parameters"
2023,Litter,Tropical Premontane Wet,16947564.405248348,417245.7651077392,40.61770261675928,"Modified Decay, Turnover and Spinup parameters"
2023,Soil Carbon,Tropical Dry,40089371.125425115,1142790.3822968886,35.08024896468737,"Modified Decay, Turnover and Spinup parameters"
2023,Soil Carbon,Tropical Moist,52379386.36989771,608498.4096054053,86.07974243328643,"Modified Decay, Turnover and Spinup parameters"
2023,Soil Carbon,Tropical Premontane Wet,39002078.623682916,417245.7651077392,93.47507365020707,"Modified Decay, Turnover and Spinup parameters"
2023,Total Biomass,Tropical Dry,131021749.42906529,1142790.3822968886,114.65072812892014,"Modified Decay, Turnover and Spinup parameters"
2023,Total Biomass,Tropical Moist,127053926.0499731,608498.4096054053,208.79910948717864,"Modified Decay, Turnover and Spinup parameters"
2023,Total Biomass,Tropical Premontane Wet,93177973.98867105,417245.7651077392,223.31676383728205,"Modified Decay, Turnover and Spinup parameters"
2024,Deadwood,Tropical Dry,18177188.412188616,1142790.3822968886,15.905969015642551,"Modified Decay, Turnover and Spinup parameters"
2024,Deadwood,Tropical Moist,17851616.015619937,608498.4096054053,29.337161336536976,"Modified Decay, Turnover and Spinup parameters"
2024,Deadwood,Tropical Premontane Wet,15185945.316994857,417245.7651077392,36.39568471851024,"Modified Decay, Turnover and Spinup parameters"
2024,Litter,Tropical Dry,18922163.178234193,1142790.3822968886,16.557860016464815,"Modified Decay, Turnover and Spinup parameters"
2024,Litter,Tropical Moist,18537380.552467518,608498.4096054053,30.464139691816953,"Modified Decay, Turnover and Spinup parameters"
2024,Litter,Tropical Premontane Wet,16968074.70020372,417245.7651077392,40.666859005321015,"Modified Decay, Turnover and Spinup parameters"
2024,Soil Carbon,Tropical Dry,40272890.81405277,1142790.3822968886,35.24083807312807,"Modified Decay, Turnover and Spinup parameters"
2024,Soil Carbon,Tropical Moist,52498956.53940631,608498.4096054053,86.27624281458756,"Modified Decay, Turnover and Spinup parameters"
2024,Soil Carbon,Tropical Premontane Wet,39106018.42947283,417245.7651077392,93.72418296294765,"Modified Decay, Turnover and Spinup parameters"
2024,Total Biomass,Tropical Dry,131021804.1389671,1142790.3822968886,114.6507760028808,"Modified Decay, Turnover and Spinup parameters"
2024,Total Biomass,Tropical Moist,127103859.78233096,608498.4096054053,208.8811700670744,"Modified Decay, Turnover and Spinup parameters"
2024,Total Biomass,Tropical Premontane Wet,93228380.65656286,417245.7651077392,223.43757193674543,"Modified Decay, Turnover and Spinup parameters"
2025,Deadwood,Tropical Dry,18177618.645622898,1142790.3822968886,15.906345491889592,"Modified Decay, Turnover and Spinup parameters"
2025,Deadwood,Tropical Moist,17863669.030987184,608498.4096054053,29.35696913747283,"Modified Decay, Turnover and Spinup parameters"
