year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2040,Deadwood,Tropical Dry,16.884653071816672
2040,Deadwood,Tropical Moist,28.581685088999834
2040,Deadwood,Tropical Premontane Wet,34.575252651168
2040,Litter,Tropical Dry,15.095202911874665
2040,Litter,Tropical Moist,25.544147255810344
2040,Litter,Tropical Premontane Wet,34.14322749218049
2040,Soil Carbon,Tropical Dry,77.51318854685002
2040,Soil Carbon,Tropical Moist,119.87116355720518
2040,Soil Carbon,Tropical Premontane Wet,139.6880792779251
2040,Total Biomass,Tropical Dry,106.08587825143984
2040,Total Biomass,Tropical Moist,178.21060173232982
2040,Total Biomass,Tropical Premontane Wet,193.16088602694992
