year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1950,Deadwood,Tropical Dry,16.70475723545378
1950,Deadwood,Tropical Moist,24.53682116663739
1950,Deadwood,Tropical Premontane Wet,29.12896942004637
1950,Litter,Tropical Dry,14.000659013330392
1950,Litter,Tropical Moist,20.226372563728
1950,Litter,Tropical Premontane Wet,26.115437516849447
1950,Soil Carbon,Tropical Dry,77.09972619871077
1950,Soil Carbon,Tropical Moist,120.04475752286274
1950,Soil Carbon,Tropical Premontane Wet,140.06277337266425
1950,Total Biomass,Tropical Dry,104.38359000200273
1950,Total Biomass,Tropical Moist,149.10359900180723
1950,Total Biomass,Tropical Premontane Wet,156.42880507323645
