year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Tropical Dry,16.872900474184867
2010,Deadwood,Tropical Moist,27.82696370846295
2010,Deadwood,Tropical Premontane Wet,33.378796848634394
2010,Litter,Tropical Dry,15.078937405414461
2010,Litter,Tropical Moist,24.869513470160513
2010,Litter,Tropical Premontane Wet,32.8600412018588
2010,Soil Carbon,Tropical Dry,77.35507028496156
2010,Soil Carbon,Tropical Moist,119.39702920632689
2010,Soil Carbon,Tropical Premontane Wet,139.02898778121545
2010,Total Biomass,Tropical Dry,106.08399693661656
2010,Total Biomass,Tropical Moist,175.76654889263202
2010,Total Biomass,Tropical Premontane Wet,189.5736803642499
