year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2000,Deadwood,Tropical Dry,16.86115329537355
2000,Deadwood,Tropical Moist,27.386904398734682
2000,Deadwood,Tropical Premontane Wet,32.72268644175379
2000,Litter,Tropical Dry,15.06054347988355
2000,Litter,Tropical Moist,24.46831958114765
2000,Litter,Tropical Premontane Wet,32.162301934577265
2000,Soil Carbon,Tropical Dry,77.29994079129236
2000,Soil Carbon,Tropical Moist,119.2934330948801
2000,Soil Carbon,Tropical Premontane Wet,138.90186525196123
2000,Total Biomass,Tropical Dry,106.07991689646038
2000,Total Biomass,Tropical Moist,174.19654548747567
2000,Total Biomass,Tropical Premontane Wet,187.3971131464598
