year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2030,Deadwood,Tropical Dry,16.882819360387344
2030,Deadwood,Tropical Moist,28.403362013737123
2030,Deadwood,Tropical Premontane Wet,34.28129706613479
2030,Litter,Tropical Dry,15.092847058777151
2030,Litter,Tropical Moist,25.38561664736736
2030,Litter,Tropical Premontane Wet,33.824432399935105
2030,Soil Carbon,Tropical Dry,77.46195110943052
2030,Soil Carbon,Tropical Moist,119.69588977620322
2030,Soil Carbon,Tropical Premontane Wet,139.43681449357084
2030,Total Biomass,Tropical Dry,106.08574071440003
2030,Total Biomass,Tropical Moist,177.65789194497097
2030,Total Biomass,Tropical Premontane Wet,192.3174329818768
