year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1910,Deadwood,Tropical Dry,37.77686860579999
1910,Deadwood,Tropical Moist,66.70661846303092
1910,Deadwood,Tropical Premontane Wet,79.18829314478141
1910,Litter,Tropical Dry,10.269188952121693
1910,Litter,Tropical Moist,19.697858449273994
1910,Litter,Tropical Premontane Wet,25.428946765659212
1910,Soil Carbon,Tropical Dry,78.63702356429405
1910,Soil Carbon,Tropical Moist,124.34169580406626
1910,Soil Carbon,Tropical Premontane Wet,145.40902662412378
1910,Total Biomass,Tropical Dry,18.434001980494976
1910,Total Biomass,Tropical Moist,57.10233968888567
1910,Total Biomass,Tropical Premontane Wet,57.38202399448777
