year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1990,Deadwood,Tropical Dry,16.84049512357563
1990,Deadwood,Tropical Moist,26.82115844873143
1990,Deadwood,Tropical Premontane Wet,31.910005881324746
1990,Litter,Tropical Dry,15.023917579301843
1990,Litter,Tropical Moist,23.93695072337609
1990,Litter,Tropical Premontane Wet,31.286976824035285
1990,Soil Carbon,Tropical Dry,77.24460664654501
1990,Soil Carbon,Tropical Moist,119.2399397872151
1990,Soil Carbon,Tropical Premontane Wet,138.85284436805614
1990,Total Biomass,Tropical Dry,106.06728728088738
1990,Total Biomass,Tropical Moist,171.97305602108398
1990,Total Biomass,Tropical Premontane Wet,184.41166770580662
