year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1930,Deadwood,Tropical Dry,18.478505170900206
1930,Deadwood,Tropical Moist,30.235356094238313
1930,Deadwood,Tropical Premontane Wet,36.74188691521145
1930,Litter,Tropical Dry,11.65598963546574
1930,Litter,Tropical Moist,18.34891882029337
1930,Litter,Tropical Premontane Wet,24.011828329039574
1930,Soil Carbon,Tropical Dry,77.35128073082511
1930,Soil Carbon,Tropical Moist,121.60533210190643
1930,Soil Carbon,Tropical Premontane Wet,142.08797568682596
1930,Total Biomass,Tropical Dry,90.6575263434541
1930,Total Biomass,Tropical Moist,118.49480991797662
1930,Total Biomass,Tropical Premontane Wet,122.05390831363441
