year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2020,Deadwood,Tropical Dry,16.879353202267808
2020,Deadwood,Tropical Moist,28.158546853495253
2020,Deadwood,Tropical Premontane Wet,33.89062190492248
2020,Litter,Tropical Dry,15.088185826188125
2020,Litter,Tropical Moist,25.16731686409256
2020,Litter,Tropical Premontane Wet,33.40511153350519
2020,Soil Carbon,Tropical Dry,77.4091946647825
2020,Soil Carbon,Tropical Moist,119.53503896991259
2020,Soil Carbon,Tropical Premontane Wet,139.21285757444804
2020,Total Biomass,Tropical Dry,106.0853149677203
2020,Total Biomass,Tropical Moist,176.8751265070937
2020,Total Biomass,Tropical Premontane Wet,191.1605272597491
