year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1980,Deadwood,Tropical Dry,16.806222674534165
1980,Deadwood,Tropical Moist,26.131331010024965
1980,Deadwood,Tropical Premontane Wet,30.960007400953927
1980,Litter,Tropical Dry,14.95109461267007
1980,Litter,Tropical Moist,23.249430842535183
1980,Litter,Tropical Premontane Wet,30.21812710386609
1980,Soil Carbon,Tropical Dry,77.19078056611964
1980,Soil Carbon,Tropical Moist,119.2574556970798
1980,Soil Carbon,Tropical Premontane Wet,138.90873358589616
1980,Total Biomass,Tropical Dry,106.0281979791967
1980,Total Biomass,Tropical Moist,168.82407855694808
1980,Total Biomass,Tropical Premontane Wet,180.31674042191943
