year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1970,Deadwood,Tropical Dry,16.75542953723496
1970,Deadwood,Tropical Moist,25.36917505619042
1970,Deadwood,Tropical Premontane Wet,29.96527758923304
1970,Litter,Tropical Dry,14.807232411629348
1970,Litter,Tropical Moist,22.38870090986779
1970,Litter,Tropical Premontane Wet,28.960531712750686
1970,Soil Carbon,Tropical Dry,77.14209559931292
1970,Soil Carbon,Tropical Moist,119.37322732532323
1970,Soil Carbon,Tropical Premontane Wet,139.10232177780884
1970,Total Biomass,Tropical Dry,105.90726448021054
1970,Total Biomass,Tropical Moist,164.36439509082433
1970,Total Biomass,Tropical Premontane Wet,174.70001424393945
