year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1940,Deadwood,Tropical Dry,17.02521288278764
1940,Deadwood,Tropical Moist,25.771615287293162
1940,Deadwood,Tropical Premontane Wet,30.94768073849795
1940,Litter,Tropical Dry,13.07264988080789
1940,Litter,Tropical Moist,19.12794227359194
1940,Litter,Tropical Premontane Wet,24.83082764247557
1940,Soil Carbon,Tropical Dry,77.15742257584
1940,Soil Carbon,Tropical Moist,120.68990232016678
1940,Soil Carbon,Tropical Premontane Wet,140.91994469870636
1940,Total Biomass,Tropical Dry,100.88738157509742
1940,Total Biomass,Tropical Moist,136.4356160016851
1940,Total Biomass,Tropical Premontane Wet,141.9345993643445
