LifeZone,AIDBSPP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
Tropical Dry,Red alder,0,0.003347252,0.089068693,0.543011196,1.816662507,4.385233975,8.627879612,14.76518185,22.84751013,32.77618485,44.34035464,57.2573632,71.20937263,85.87285219,100.940063,116.1331061,131.211776,145.976653,160.2687973,173.9672026,186.984928,199.2645936,210.7737212,221.5002415,231.4483583,240.6348752,249.0860213,256.8347719,263.9186354,270.3778597,276.2540091,281.5888568,286.4235461,290.797971,294.750338,298.3168717,301.5316356,304.426441,307.0308247,309.3720765,311.4753049,313.3635275,315.0577798,316.577233,317.9393187,319.1598537,320.2531634,321.2322023,322.1086684,322.8931121,323.5950389,324.2230039,324.7847007,325.2870431,325.7362394,326.1378617,326.496908,326.8178596,327.1047325,327.3611247,327.5902584,327.7950185,327.9779873,328.1414755,328.2875506,328.418062,328.5346636,328.6388346,328.7318975,328.8150346,328.8893029,328.9556471,329.0149116,329.067851,329.1151397,329.1573802,329.195111,329.2288133,329.2589168,329.2858057,329.309823,329.3312753,329.3504364,329.3675508,329.3828372,329.3964908,329.4086859,329.4195782,329.4293069,329.4379964,329.4457575,329.4526895,329.4588809,329.4644108,329.4693499,329.4737614,329.4777015,329.4812206,329.4843638,329.4871711,329.4896785,329.491918,329.4939182,329.4957047,329.4973003,329.4987255,329.4999983,329.5011352,329.5021506,329.5030575,329.5038675,329.5045909,329.5052371,329.5058142,329.5063296,329.50679,329.5072012,329.5075685,329.5078965,329.5081894,329.5084511,329.5086848,329.5088935,329.5090799,329.5092465,329.5093952,329.509528,329.5096466,329.5097526,329.5098472,329.5099318,329.5100072,329.5100747,329.5101349,329.5101887,329.5102367,329.5102796,329.510318,329.5103522,329.5103828,329.5104101,329.5104344,329.5104562,329.5104757,329.5104931,329.5105086,329.5105224,329.5105348,329.5105459,329.5105557,329.5105646,329.5105724,329.5105795,329.5105858,329.5105914,329.5105964,329.5106009,329.5106049,329.5106084,329.5106116,329.5106145,329.510617,329.5106193,329.5106213,329.5106231,329.5106248,329.5106262,329.5106275,329.5106287,329.5106297,329.5106306,329.5106314,329.5106322,329.5106328,329.5106334,329.5106339,329.5106344,329.5106348,329.5106352,329.5106355,329.5106358,329.5106361,329.5106363,329.5106365,329.5106367,329.5106369,329.510637,329.5106372,329.5106373,329.5106374,329.5106375,329.5106376,329.5106377,329.5106377,329.5106378,329.5106378,329.5106379,329.5106379,329.510638,329.510638,329.510638
Tropical Moist,Red alder,0,19.07276234,37.49320868,55.28364917,72.46563092,89.05996409,105.0867471,120.565391,135.514643,149.9526089,163.8967756,177.3640317,190.3706881,202.9324982,215.0646762,226.7819162,238.0984097,249.0278627,259.5835127,269.7781443,279.6241047,289.1333191,298.3173046,307.1871845,315.7537018,324.0272318,332.0177951,339.7350697,347.1884023,354.3868201,361.3390417,368.0534873,374.5382892,380.8013014,386.8501096,392.6920399,398.3341676,403.7833265,409.0461163,414.1289111,419.0378669,423.7789294,428.3578407,432.7801466,437.0512033,441.1761837,445.1600838,449.0077287,452.7237787,456.3127343,459.7789425,463.1266014,466.3597656,469.4823508,472.4981391,475.4107831,478.2238105,480.9406283,483.564527,486.0986845,488.5461703,490.9099484,493.192882,495.3977359,497.5271807,499.5837953,501.5700708,503.4884128,505.3411447,507.1305105,508.8586774,510.5277385,512.1397154,513.6965602,515.2001588,516.6523321,518.054839,519.4093781,520.71759,521.9810592,523.2013159,524.3798381,525.5180531,526.6173395,527.6790288,528.7044067,529.6947152,530.6511538,531.5748808,532.4670149,533.3286368,534.16079,534.9644824,535.7406873,536.4903448,537.214363,537.9136188,538.588959,539.2412015,539.8711365,540.4795267,541.0671092,541.6345954,542.1826728,542.7120052,543.2232337,543.7169774,544.1938343,544.654382,545.0991784,545.5287621,545.9436534,546.3443548,546.7313516,547.1051126,547.4660904,547.8147223,548.1514305,548.4766227,548.7906929,549.0940215,549.3869757,549.6699106,549.9431686,550.2070808,550.4619669,550.7081354,550.9458847,551.1755026,551.3972672,551.6114471,551.8183018,552.0180818,552.211029,552.3973771,552.5773518,552.7511712,552.9190456,553.0811786,553.2377663,553.3889985,553.5350584,553.6761228,553.8123626,553.9439428,554.0710228,554.1937564,554.3122924,554.4267743,554.5373407,554.6441256,554.7472583,554.8468637,554.9430625,555.0359711,555.1257021,555.2123642,555.2960624,555.3768979,555.4549687,555.5303694,555.6031913,555.6735226,555.7414484,555.8070511,555.8704101,555.9316021,555.9907012,556.0477791,556.1029048,556.1561452,556.2075646,556.2572255,556.3051878,556.3515098,556.3962475,556.4394551,556.4811849,556.5214876,556.5604118,556.5980047,556.634312,556.6693774,556.7032436,556.7359515,556.7675407,556.7980496,556.827515,556.8559726,556.8834569,556.9100013,556.9356378,556.9603974,556.9843103,557.0074053,557.0297104,557.0512527,557.0720582,557.0921521,557.1115587,557.1303017
"Tropical Premontane Wet, Transition to Basal - Pacific",Red alder,0,11.80712803,23.36426793,34.67671261,45.74964293,56.58813002,67.19713768,77.58152458,87.74604656,97.69535872,107.4340176,116.9664834,126.2971216,135.4302056,144.369918,153.120353,161.6855182,170.0693362,178.2756466,186.3082077,194.1706983,201.8667191,209.3997948,216.7733754,223.9908377,231.0554873,237.9705596,244.7392216,251.364573,257.8496482,264.1974173,270.4107873,276.4926038,282.4456521,288.2726587,293.9762922,299.5591646,305.0238329,310.3727997,315.6085147,320.7333758,325.74973,330.6598748,335.4660587,340.1704831,344.7753024,349.2826254,353.6945165,358.0129962,362.2400423,366.3775906,370.4275361,374.3917335,378.2719984,382.0701078,385.7878012,389.4267812,392.9887143,396.4752319,399.8879308,403.2283737,406.4980907,409.698579,412.8313046,415.8977021,418.8991759,421.8371005,424.7128215,427.5276558,430.2828927,432.9797939,435.6195946,438.2035038,440.7327047,443.2083558,445.6315908,448.0035195,450.3252281,452.5977801,454.8222162,456.999555,459.1307938,461.2169087,463.258855,465.2575679,467.2139627,469.1289355,471.0033633,472.8381045,474.6339993,476.3918703,478.1125226,479.796744,481.4453061,483.0589637,484.6384559,486.1845061,487.6978223,489.1790977,490.6290105,492.0482248,493.4373906,494.797144,496.128108,497.4308918,498.7060923,499.9542935,501.1760669,502.3719721,503.5425569,504.6883573,505.809898,506.9076928,507.9822443,509.0340448,510.0635759,511.071309,512.0577058,513.023218,513.9682877,514.8933478,515.7988219,516.6851248,517.5526622,518.4018316,519.2330219,520.0466136,520.8429795,521.6224842,522.3854847,523.1323304,523.8633635,524.5789187,525.2793236,525.9648992,526.6359593,527.2928113,527.935756,528.5650878,529.181095,529.7840598,530.3742581,530.9519604,531.5174313,532.0709296,532.6127089,533.1430172,533.6620976,534.1701876,534.6675201,535.1543227,535.6308184,536.0972254,536.5537574,537.0006233,537.438028,537.8661716,538.2852503,538.695456,539.0969765,539.4899958,539.8746938,540.2512468,540.6198271,540.9806036,541.3337416,541.6794026,542.0177451,542.348924,542.673091,542.9903945,543.3009798,543.6049892,543.902562,544.1938343,544.4789396,544.7580085,545.0311688,545.2985455,545.5602612,545.8164357,546.0671863,546.3126278,546.5528726,546.7880309,547.0182102,547.243516,547.4640515,547.6799177,547.8912135,548.0980355,548.3004786,548.4986354,548.6925967,548.8824513,549.0682862,549.2501865,549.4282355,549.6025147,549.773104,549.9400814
"Tropical Premontane Wet, Transition to Basal - Atlantic",Red alder,0,18.88196607,37.17659088,54.90214423,72.07632762,88.71629192,104.8386545,120.4595159,135.5944758,150.2586485,164.4666784,178.2327542,191.5706233,204.4936055,217.0146062,229.1461295,240.9002903,252.2888269,263.3231124,274.0141661,284.3726646,294.4089523,304.1330518,313.554674,322.6832279,331.5278296,340.0973116,348.4002319,356.444882,364.2392957,371.7912569,379.1083073,386.1977539,393.0666767,399.7219352,406.1701756,412.4178374,418.4711599,424.3361881,430.0187791,435.5246078,440.8591725,446.0278006,451.0356536,455.8877327,460.5888833,465.1438003,469.5570322,473.8329864,477.9759331,481.9900095,485.8792244,489.6474615,493.2984841,496.8359382,500.2633565,503.5841617,506.8016702,509.919095,512.9395494,515.8660498,518.7015186,521.4487875,524.1106,526.6896144,529.1884061,531.6094705,533.9552254,536.2280135,538.4301043,540.5636971,542.6309224,544.6338447,546.5744643,548.4547191,550.2764868,552.0415867,553.7517815,555.4087791,557.0142342,558.5697502,560.0768804,561.5371298,562.9519569,564.3227744,565.6509513,566.9378141,568.1846478,569.3926976,570.5631698,571.6972334,572.7960209,573.8606296,574.8921226,575.8915301,576.85985,577.7980495,578.7070654,579.5878055,580.4411493,581.2679491,582.0690305,582.8451935,583.5972132,584.3258407,585.0318035,585.7158067,586.3785333,587.0206452,587.6427836,588.2455698,588.8296058,589.3954747,589.9437418,590.4749546,590.9896434,591.4883224,591.9714895,592.4396273,592.8932031,593.3326701,593.7584671,594.1710192,594.5707385,594.9580242,595.3332629,595.6968296,596.0490871,596.3903874,596.7210711,597.0414687,597.3519,597.652675,597.9440941,598.2264484,598.5000198,598.7650815,599.0218982,599.2707263,599.5118145,599.7454033,599.9717262,600.1910091,600.4034709,600.609324,600.8087738,601.0020195,601.1892542,601.3706647,601.5464323,601.7167324,601.8817353,602.0416055,602.1965028,602.346582,602.4919927,602.6328803,602.7693855,602.9016446,603.0297896,603.1539485,603.2742454,603.3908003,603.5037297,603.6131463,603.7191594,603.8218748,603.9213952,604.0178199,604.1112453,604.2017645,604.2894681,604.3744436,604.4567758,604.536547,604.6138368,604.6887225,604.7612788,604.8315781,604.8996908,604.9656847,605.0296258,605.091578,605.151603,605.209761,605.2661099,605.320706,605.3736038,605.4248562,605.4745144,605.5226279,605.5692448,605.6144116,605.6581734,605.700574,605.7416557,605.7814595,605.8200252,605.8573913,605.893595,605.9286726
Tropical Wet,Red alder,0,17.44787009,34.5742093,51.38494283,67.88588669,84.08274972,99.98113554,115.5865445,130.9043756,145.9399284,160.6984048,175.1849106,189.4044578,203.361966,217.0622639,230.5100916,243.7101016,256.6668606,269.3848513,281.8684738,294.122047,306.1498102,317.9559248,329.5444753,340.919471,352.0848472,363.0444669,373.8021218,384.3615337,394.7263558,404.9001741,414.8865083,424.6888135,434.310481,443.7548395,453.0251566,462.1246394,471.0564362,479.8236371,488.4292752,496.8763279,505.1677175,513.3063127,521.2949291,529.1363306,536.8332301,544.3882905,551.8041255,559.0833009,566.228335,573.2416998,580.1258216,586.8830823,593.5158196,600.0263282,606.4168606,612.6896277,618.8467998,624.8905069,630.82284,636.6458516,642.3615562,647.9719313,653.478918,658.8844214,664.1903117,669.3984246,674.5105619,679.5284924,684.4539519,689.2886447,694.0342433,698.6923896,703.2646952,707.752742,712.1580826,716.4822412,720.7267139,724.892969,728.982448,732.9965658,736.936711,740.8042469,744.6005115,748.3268182,751.9844562,755.5746909,759.0987645,762.5578961,765.9532825,769.2860985,772.5574971,775.76861,778.9205482,782.0144023,785.0512426,788.0321196,790.9580649,793.8300905,796.6491902,799.4163393,802.1324952,804.7985974,807.4155685,809.9843139,812.5057221,814.9806657,817.4100008,819.7945678,822.1351919,824.4326827,826.6878352,828.9014295,831.0742315,833.2069929,835.3004516,837.3553319,839.3723446,841.3521877,843.2955461,845.203092,847.0754856,848.9133745,850.7173946,852.4881701,854.2263136,855.9324264,857.6070989,859.2509103,860.8644294,862.4482145,864.0028134,865.528764,867.0265943,868.4968224,869.9399571,871.3564975,872.7469338,874.111747,875.4514094,876.7663843,878.0571267,879.3240832,880.5676921,881.7883837,882.9865803,884.1626965,885.317139,886.4503074,887.5625936,888.6543826,889.7260519,890.7779725,891.8105081,892.8240161,893.8188471,894.7953453,895.7538484,896.6946882,897.6181901,898.5246737,899.4144524,900.2878343,901.1451214,901.9866103,902.8125922,903.6233529,904.4191727,905.2003271,905.9670864,906.7197157,907.4584756,908.1836214,908.8954043,909.5940703,910.2798613,910.9530144,911.6137627,912.2623346,912.8989545,913.5238428,914.1372155,914.739285,915.3302595,915.9103435,916.4797376,917.0386389,917.5872407,918.1257328,918.6543016,919.1731298,919.682397,920.1822794,920.6729499,921.1545783,921.6273312,922.0913722,922.5468618,922.9939576,923.4328143,923.8635836
Premontane Rain,Red alder,0,18.72517519,37.07589655,55.05965218,72.6837804,89.95547282,106.8817772,123.4696004,139.7257112,155.6567429,171.2691962,186.5694419,201.5637232,216.2581587,230.6587445,244.7713568,258.6017543,272.1555805,285.4383661,298.4555313,311.2123877,323.7141409,335.9658921,347.9726408,359.7392864,371.2706303,382.571378,393.6461406,404.4994374,415.135697,425.5592597,435.7743788,445.7852226,455.5958761,465.2103425,474.6325451,483.8663287,492.9154611,501.7836349,510.4744687,518.9915089,527.3382308,535.5180405,543.5342757,551.3902075,559.0890415,566.6339192,574.0279194,581.2740592,588.3752954,595.3345257,602.1545899,608.8382709,615.3882961,621.8073381,628.0980162,634.2628976,640.3044976,646.2252817,652.0276658,657.7140176,663.2866575,668.7478593,674.0998516,679.3448183,684.4848995,689.5221928,694.4587535,699.2965962,704.0376948,708.683984,713.2373598,717.6996801,722.0727659,726.3584015,730.5583358,734.6742826,738.7079214,742.6608981,746.5348257,750.331285,754.0518253,757.6979646,761.2711908,764.772962,768.204707,771.5678262,774.863692,778.0936492,781.2590158,784.3610835,787.401118,790.38036,793.300025,796.1613044,798.9653659,801.7133536,804.4063888,807.0455704,809.6319754,812.1666592,814.650656,817.0849795,819.470623,821.8085599,824.0997443,826.3451111,828.5455765,830.7020384,832.8153768,834.8864541,836.9161153,838.9051886,840.8544858,842.7648022,844.6369174,846.4715952,848.2695843,850.0316184,851.7584165,853.4506832,855.1091091,856.7343709,858.3271317,859.8880415,861.4177373,862.9168433,864.385971,865.8257202,867.2366782,868.6194207,869.9745121,871.3025052,872.603942,873.8793535,875.1292602,876.3541721,877.5545889,878.7310006,879.8838872,881.0137192,882.1209575,883.2060539,884.2694513,885.3115836,886.332876,887.3337453,888.3145998,889.2758398,890.2178576,891.1410376,892.0457564,892.9323832,893.8012798,894.6528008,895.4872936,896.3050988,897.1065501,897.8919745,898.6616924,899.4160181,900.1552592,900.8797175,901.5896885,902.285462,902.9673219,903.6355464,904.2904081,904.9321744,905.561107,906.1774627,906.7814929,907.373444,907.9535578,908.5220708,909.079215,909.6252178,910.1603021,910.684686,911.1985837,911.7022048,912.1957548,912.6794351,913.1534431,913.6179721,914.0732119,914.519348,914.9565626,915.3850341,915.8049373,916.2164435,916.6197207,917.0149334,917.402243,917.7818073,918.1537814,918.518317,918.8755628,919.2256647,919.5687654,919.9050051
